assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
21,8,20,,4,82,13,Holmstrom,0,69,8460743,-11,34,0.41463,L,5,14,19981999,0,0,0.13,L,100,Tomas Holmstrom,DET,730.756
21,8,23,0.49333,1,63,13,Hecht,0,28,8462077,20,34,0.53968,C,5,11,19992000,0,0,0.09285,L,140,Jochen Hecht,STL,925.0634
22,11,28,,1,74,12,Douris,0,21,8446468,-5,34,0.45945,R,1,6,19931994,0,0,0.0845,R,142,Peter Douris,ANA,
22,6,23,,2,51,12,Hawerchuk,0,32,8447685,9,34,0.66666,C,6,11,19961997,0,0,0.11764,L,102,Dale Hawerchuk,PHI,
22,8,24,,1,73,12,Noonan,0,34,8449894,-3,34,0.46575,R,3,8,19961997,1,2,0.12,R,100,Brian Noonan,"STL,NYR,VAN",
22,8,27,0.46912,3,74,12,Johnson,1,40,8456734,-2,34,0.45945,C,4,7,19971998,0,0,0.13483,L,89,Greg Johnson,"PIT,CHI",1054.2432
22,9,28,,2,73,12,Lindsay,0,57,8458617,13,34,0.46575,L,0,0,19951996,3,6,0.10169,L,118,Bill Lindsay,FLA,
23,4,15,,1,66,11,Chambers,0,23,8446042,-6,34,0.51515,D,6,18,19931994,1,1,0.07746,L,142,Shawn Chambers,TBL,
23,6,20,,4,46,11,Dahlen,0,11,8446295,-2,34,0.73913,R,4,13,19941995,1,1,0.12941,L,85,Ulf Dahlen,SJS,
23,10,30,,3,81,11,Lindsay,0,120,8458617,1,34,0.41975,L,0,0,19961997,1,4,0.06547,L,168,Bill Lindsay,FLA,
24,4,13,,0,55,10,Benning,0,152,8445419,-1,34,0.61818,D,6,20,19921993,0,1,0.08695,L,115,Brian Benning,"PHI,EDM",
24,5,14,,2,62,10,Chiasson,0,136,8446051,22,34,0.54838,D,5,19,19911992,0,1,0.06993,L,143,Steve Chiasson,DET,
24,5,15,,1,33,10,Roenick,0,14,8450978,5,34,1.0303,C,5,18,19941995,0,1,0.10752,R,93,Jeremy Roenick,CHI,
24,5,14,,2,75,10,Schneider,0,71,8451224,-19,34,0.45333,D,5,20,19981999,0,0,0.06289,L,159,Mathieu Schneider,NYR,1461.2933
24,8,31,0.54545,2,80,10,Konowalchuk,0,80,8458572,9,34,0.425,L,2,3,19971998,0,0,0.07633,L,131,Steve Konowalchuk,WSH,983.8375
25,7,24,,2,57,9,Coffey,0,38,8446117,11,34,0.59649,D,1,9,19961997,1,1,0.08181,L,110,Paul Coffey,"HFD,PHI",
25,5,16,,5,69,9,Berard,2,48,8462032,1,34,0.49275,D,4,18,19981999,0,0,0.06666,L,135,Bryan Berard,"NYI,TOR",1415.0144
26,3,17,,1,76,8,Broten,0,16,8445724,-15,34,0.44736,C,4,15,19911992,1,2,0.06722,L,119,Neal Broten,MNS,
26,7,30,,2,79,8,Konstantinov,0,172,8456870,25,34,0.43037,D,1,2,19911992,0,2,0.07407,R,108,Vladimir Konstantinov,DET,
26,3,17,0.0,1,74,8,Sydor,0,32,8458172,6,34,0.45945,D,5,16,19992000,0,1,0.0606,L,132,Darryl Sydor,DAL,1374.2972
26,7,24,0.53457,1,78,8,Gratton,0,143,8459425,-28,34,0.43589,C,1,8,19981999,0,2,0.04419,L,181,Chris Gratton,"PHI,TBL",1021.5641
26,6,23,,1,72,8,Allison,0,34,8459439,-6,34,0.47222,C,2,11,19961997,0,0,0.0808,R,99,Jason Allison,"WSH,BOS",
27,1,15,,0,66,7,Chiasson,0,65,8446051,-2,34,0.51515,D,6,19,19971998,0,0,0.04046,L,173,Steve Chiasson,CAR,1339.8636
27,6,33,,0,84,7,Sweeney,0,68,8451819,34,34,0.40476,D,0,0,19921993,1,1,0.06542,L,107,Don Sweeney,BOS,
27,4,24,,2,71,7,Morris,0,73,8464966,4,34,0.47887,D,3,10,19981999,0,0,0.04666,R,150,Derek Morris,CGY,1244.014
28,2,10,,2,64,6,Hawgood,0,36,8447690,9,34,0.53125,D,4,24,19931994,0,0,0.05357,L,112,Greg Hawgood,"PHI,FLA,PIT",
28,3,8,,0,76,6,Suter,0,52,8451804,7,34,0.44736,D,2,22,19992000,1,4,0.03428,L,175,Gary Suter,SJS,1409.5
28,3,12,,0,52,6,Woolley,0,32,8458454,-9,34,0.65384,D,3,22,19951996,0,0,0.06122,L,98,Jason Woolley,FLA,
30,2,24,,0,81,4,Manson,0,122,8449123,22,34,0.41975,D,2,10,19971998,0,0,0.02702,L,148,Dave Manson,MTL,1313.2222
31,3,28,,0,81,3,Chelios,0,103,8446053,48,34,0.41975,D,0,4,19992000,0,2,0.02222,R,135,Chris Chelios,DET,1516.2222
31,0,14,,0,60,3,Howe,0,22,8448002,22,34,0.56666,D,3,20,19921993,0,0,0.04166,L,72,Mark Howe,DET,
31,2,25,,1,72,3,Mironov,0,88,8458672,19,34,0.47222,D,1,7,19951996,0,2,0.03488,R,86,Dmitri Mironov,PIT,
8,21,26,,4,75,25,Savage,0,28,8458682,-8,33,0.44,L,4,7,19951996,0,0,0.16666,L,150,Brian Savage,MTL,
13,10,16,0.0,2,65,20,Smyth,0,44,8460496,-24,33,0.50769,L,10,17,19971998,0,0,0.09756,L,205,Ryan Smyth,EDM,1066.4307
16,13,25,,0,75,17,Marois,0,94,8449174,-34,33,0.44,R,4,8,19911992,0,0,0.10691,R,159,Daniel Marois,"TOR,NYI",
16,15,28,,1,80,17,McKay,0,246,8449450,6,33,0.4125,R,2,3,19911992,0,2,0.15315,R,111,Randy McKay,NJD,
16,10,22,,2,48,17,Verbeek,0,71,8452216,-2,33,0.6875,R,7,11,19941995,0,0,0.12977,R,131,Pat Verbeek,"HFD,NYR",
17,8,24,,0,77,16,Baker,0,79,8445202,-19,33,0.42857,C,2,2,19951996,6,7,0.13675,L,117,Jamie Baker,SJS,
17,11,23,0.0,4,62,16,Ciccarelli,0,70,8446063,-16,33,0.53225,R,5,10,19971998,0,0,0.09937,R,161,Dino Ciccarelli,"TBL,FLA",1023.8064
