assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
96,18,72,0.51279,6,81,29,Thornton,1,61,8466138,31,125,1.5432,C,11,51,20052006,0,2,0.14871,L,195,Joe Thornton,"BOS,SJS",1280.1975
69,30,71,0.16666,9,82,54,Jagr,2,72,8448208,34,123,1.5,R,24,52,20052006,0,0,0.14673,L,368,Jaromir Jagr,NYR,1324.5
84,23,59,0.49762,4,79,36,Crosby,0,60,8471675,10,120,1.51898,C,13,61,20062007,0,0,0.144,L,250,Sidney Crosby,PIT,1245.5443
92,12,60,0.51116,5,82,22,Thornton,0,44,8466138,24,114,1.39024,C,10,54,20062007,0,0,0.10328,L,213,Joe Thornton,SJS,1218.7439
78,19,70,0.42365,4,82,35,Malkin,2,80,8471215,17,113,1.37804,C,14,41,20082009,2,2,0.12068,L,290,Evgeni Malkin,PIT,1351.0243
47,43,75,0.38888,11,82,65,Ovechkin,2,40,8471214,28,112,1.36585,L,22,37,20072008,0,0,0.14573,R,446,Alex Ovechkin,WSH,1375.0609
83,23,83,0.49508,5,82,29,Sedin,0,48,8467876,35,112,1.36585,C,4,27,20092010,2,2,0.17469,L,166,Henrik Sedin,VAN,1181.2682
54,36,63,0.25,10,79,56,Ovechkin,2,72,8471214,8,110,1.3924,L,19,46,20082009,1,1,0.10606,R,528,Alex Ovechkin,WSH,1380.2784
58,36,72,0.5589,6,81,51,Crosby,1,71,8471675,15,109,1.34567,C,13,34,20092010,2,3,0.17114,L,298,Sidney Crosby,PIT,1317.2716
59,37,73,0.45454,7,72,50,Ovechkin,0,89,8471214,45,109,1.51388,L,13,36,20092010,0,0,0.13586,R,368,Alex Ovechkin,WSH,1307.8472
56,31,63,0.46581,7,82,52,Lecavalier,1,44,8467329,2,108,1.31707,C,16,36,20062007,5,9,0.15339,L,339,Vincent Lecavalier,TBL,1356.2439
54,28,51,0.125,5,81,52,Ovechkin,2,52,8471214,2,106,1.30864,L,21,52,20052006,3,3,0.12235,R,425,Alex Ovechkin,WSH,1297.3086
59,30,66,0.39325,5,82,47,Malkin,0,78,8471215,16,106,1.29268,C,17,40,20072008,0,0,0.17279,L,272,Evgeni Malkin,PIT,1279.2804
77,21,73,0.46967,2,75,29,Forsberg,1,70,8458520,52,106,1.41333,C,8,33,20022003,0,0,0.17469,L,166,Peter Forsberg,COL,1159.6
55,30,62,0.38333,10,82,50,Heatley,0,74,8468482,31,105,1.28048,L,17,39,20062007,3,4,0.16129,L,310,Dany Heatley,OTT,1261.9634
56,24,50,0.33333,12,82,48,Naslund,1,52,8458530,6,104,1.26829,L,24,54,20022003,0,0,0.16326,L,294,Markus Naslund,VAN,1194.1341
53,25,56,0.53614,7,82,50,Heatley,0,86,8468482,29,103,1.25609,L,23,43,20052006,2,4,0.16666,L,300,Dany Heatley,OTT,1269.1097
60,22,49,0.20454,8,77,43,Alfredsson,0,50,8460621,29,103,1.33766,R,16,48,20052006,5,6,0.17269,R,249,Daniel Alfredsson,OTT,1301.4415
70,26,62,0.51331,3,77,33,Crosby,1,76,8471675,3,103,1.33766,C,7,40,20082009,0,1,0.13865,L,238,Sidney Crosby,PIT,1316.5324
59,24,61,0.35,7,82,43,St. Louis,2,28,8466378,7,102,1.2439,R,14,30,20062007,5,11,0.1575,L,273,Martin St. Louis,TBL,1449.3658
63,23,53,0.45485,5,81,39,Crosby,3,110,8471675,-1,102,1.25925,C,16,47,20052006,0,2,0.14028,L,278,Sidney Crosby,PIT,1207.6049
