assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
43,31.0,54.0,,7,65,54,Hull,0,66,8448108,19.0,97,1.4923,L,22.0,41.0,19651966,1.0,2.0,0.15384,L,351.0,Bobby Hull,CHI,
62,26.0,65.0,,5,70,35,Mikita,0,12,8449602,40.0,97,1.38571,C,8.0,30.0,19661967,1.0,2.0,0.12544,R,279.0,Stan Mikita,CHI,
55,27.0,67.0,,7,70,41,Moore,0,61,8447886,,96,1.37142,L,13.0,28.0,19581959,1.0,1.0,,L,,Dickie Moore,MTL,
45,34.0,57.0,,12,64,50,Geoffrion,0,27,8446579,3.0,95,1.48437,R,16.0,38.0,19601961,0.0,0.0,0.15822,R,316.0,Bernie Geoffrion,MTL,
46,37.0,67.0,,6,70,49,Howe,0,57,8448000,,95,1.35714,R,11.0,27.0,19521953,1.0,1.0,,R,,Gordie Howe,DET,
46,32.0,60.0,,7,64,45,Beliveau,0,69,8445408,,91,1.42187,C,13.0,30.0,19581959,0.0,1.0,,L,,Jean Beliveau,MTL,
58,19.0,57.0,,11,69,32,Beliveau,0,57,8445408,10.0,90,1.30434,C,13.0,33.0,19601961,0.0,0.0,0.09876,L,324.0,Jean Beliveau,MTL,
45,29.0,57.0,,6,70,44,Howe,0,74,8448000,,89,1.27142,R,15.0,31.0,19561957,0.0,1.0,,R,,Gordie Howe,DET,
50,24.0,54.0,,7,70,39,Mikita,0,146,8449602,21.0,89,1.27142,C,14.0,34.0,19631964,1.0,1.0,0.12786,R,305.0,Stan Mikita,CHI,
41,28.0,48.0,,8,70,47,Beliveau,0,143,8445408,,88,1.25714,C,19.0,39.0,19551956,0.0,1.0,,L,,Jean Beliveau,MTL,
48,30.0,58.0,,3,70,40,Bathgate,0,48,8445032,,88,1.25714,R,9.0,29.0,19581959,1.0,1.0,,R,,Andy Bathgate,NYR,
44,27.0,51.0,,5,70,43,Hull,0,48,8448108,14.0,87,1.24285,L,12.0,32.0,19631964,4.0,4.0,0.10539,L,408.0,Bobby Hull,CHI,
59,20.0,59.0,,6,70,28,Mikita,0,154,8449602,29.0,87,1.24285,C,8.0,28.0,19641965,0.0,0.0,0.10937,R,256.0,Stan Mikita,CHI,
39,41.0,61.0,,10,70,47,Howe,0,78,8448000,,86,1.22857,R,5.0,24.0,19511952,1.0,1.0,,R,,Gordie Howe,DET,
43,38.0,70.0,,9,70,43,Howe,0,74,8448000,,86,1.22857,R,5.0,16.0,19501951,0.0,0.0,,R,,Gordie Howe,DET,
48,25.0,54.0,,6,70,38,Howe,0,100,8448000,23.0,86,1.22857,R,13.0,31.0,19621963,0.0,1.0,0.10826,R,351.0,Gordie Howe,DET,
55,23.0,59.0,,4,70,30,Lindsay,0,103,8447500,,85,1.21428,L,6.0,25.0,19561957,1.0,1.0,,L,,Ted Lindsay,DET,
34,41.0,63.0,,7,70,50,Hull,0,35,8448108,10.0,84,1.2,L,9.0,19.0,19611962,0.0,2.0,0.13333,L,375.0,Bobby Hull,CHI,
36,41.0,64.0,,10,70,48,Mahovlich,0,131,8449044,23.0,84,1.2,L,7.0,20.0,19601961,0.0,0.0,0.21524,L,223.0,Frank Mahovlich,TOR,
48,21.0,49.0,,9,70,36,Moore,0,65,8447886,,84,1.2,L,14.0,34.0,19571958,1.0,1.0,,L,,Dickie Moore,MTL,
51,21.0,54.0,,4,69,33,Beliveau,0,105,8445408,,84,1.21739,C,12.0,30.0,19561957,0.0,0.0,,L,,Jean Beliveau,MTL,
56,24.0,59.0,,4,70,28,Bathgate,0,44,8445032,3.0,84,1.2,R,4.0,25.0,19611962,0.0,0.0,0.0918,R,305.0,Andy Bathgate,NYR,
41,31.0,53.0,,10,70,42,Ullman,0,70,8449274,15.0,83,1.18571,C,10.0,27.0,19641965,1.0,3.0,0.16733,L,251.0,Norm Ullman,DET,
46,33.0,74.0,,3,49,36,Cain,0,4,8445307,,82,1.67346,L,2.0,6.0,19431944,1.0,2.0,,L,,Herb Cain,BOS,
42,33.0,69.0,,8,70,39,Hull,0,68,8448108,27.0,81,1.15714,L,6.0,12.0,19591960,0.0,0.0,,L,319.0,Bobby Hull,CHI,
46,30.0,58.0,,2,70,35,Bathgate,0,54,8445032,-5.0,81,1.15714,R,5.0,23.0,19621963,0.0,0.0,0.13059,R,268.0,Andy Bathgate,NYR,
48,18.0,48.0,,8,70,33,Howe,0,109,8448000,,81,1.15714,R,15.0,33.0,19531954,0.0,0.0,,R,,Gordie Howe,DET,
28,32.0,54.0,,3,66,52,Hull,0,52,8448108,28.0,80,1.21212,L,18.0,23.0,19661967,2.0,3.0,0.1625,L,320.0,Bobby Hull,CHI,
41,19.0,50.0,,5,68,39,Horvath,0,60,8446918,-12.0,80,1.17647,C,20.0,30.0,19591960,0.0,0.0,,L,238.0,Bronco Horvath,BOS,
52,22.0,60.0,,3,67,28,Richard,0,58,8448320,,80,1.19402,C,6.0,20.0,19571958,0.0,0.0,,R,,Henri Richard,MTL,
54,23.0,65.0,,5,50,26,Lach,0,37,8447271,,80,1.6,C,3.0,15.0,19441945,0.0,0.0,,L,,Elmer Lach,MTL,
41,24.0,42.0,,8,70,38,Howe,0,100,8448000,,79,1.12857,R,14.0,36.0,19551956,0.0,1.0,,R,,Gordie Howe,DET,
46,24.0,49.0,,5,70,32,Howe,0,57,8448000,,78,1.11428,R,8.0,28.0,19581959,0.0,1.0,,R,,Gordie Howe,DET,
48,23.0,44.0,,4,65,30,Bathgate,0,42,8445032,,78,1.2,R,6.0,30.0,19571958,1.0,4.0,,R,,Andy Bathgate,NYR,
48,20.0,38.0,,3,70,30,Rousseau,0,20,8448464,10.0,78,1.11428,R,10.0,40.0,19651966,0.0,0.0,0.11718,R,256.0,Bobby Rousseau,MTL,
48,18.0,41.0,,1,68,30,Mikita,0,58,8449602,6.0,78,1.14705,C,11.0,36.0,19651966,1.0,1.0,0.12295,R,244.0,Stan Mikita,CHI,
50,15.0,46.0,,2,68,28,Beliveau,0,42,8445408,9.0,78,1.14705,C,13.0,32.0,19631964,0.0,0.0,0.1228,L,228.0,Jean Beliveau,MTL,
55,19.0,60.0,,4,69,23,Lindsay,0,141,8447500,,78,1.13043,L,4.0,18.0,19491950,0.0,0.0,,L,,Ted Lindsay,DET,
39,30.0,60.0,,5,50,38,Bentley,0,22,8445062,,77,1.54,L,8.0,17.0,19431944,0.0,0.0,,L,,Doug Bentley,CHI,
44,27.0,56.0,,6,70,33,Litzenberger,0,37,8447502,,77,1.1,C,6.0,21.0,19581959,0.0,0.0,,R,,Ed Litzenberger,CHI,
44,20.0,49.0,,7,64,33,Howe,0,38,8448000,,77,1.20312,R,10.0,24.0,19571958,3.0,4.0,,R,,Gordie Howe,DET,
44,21.0,51.0,,7,70,33,Howe,0,54,8448000,12.0,77,1.1,R,10.0,23.0,19611962,2.0,3.0,0.09537,R,346.0,Gordie Howe,DET,
48,22.0,53.0,,1,70,29,Bathgate,0,22,8445032,-12.0,77,1.1,R,6.0,23.0,19601961,1.0,1.0,0.09539,R,304.0,Andy Bathgate,NYR,
48,16.0,48.0,,8,67,29,Beliveau,0,50,8445408,10.0,77,1.14925,C,13.0,29.0,19651966,0.0,0.0,0.10861,L,267.0,Jean Beliveau,MTL,
