assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
89,39,75,0.51928,11,82,64,McDavid,2,36,8478402,22,153,1.86585,C,21,71,20222023,4,7,0.18181,L,352,Connor McDavid,EDM,1343.1341
100,31,91,0.5,6,81,44,Kucherov,1,22,8476453,8,144,1.77777,R,13,53,20232024,0,0,0.14379,L,306,Nikita Kucherov,TBL,1300.1234
89,41,92,0.46194,9,82,51,MacKinnon,2,42,8477492,35,140,1.70731,C,10,48,20232024,0,0,0.12592,R,405,Nathan MacKinnon,COL,1368.8536
100,24,87,0.51098,5,76,32,McDavid,1,30,8478402,35,132,1.73684,C,7,44,20232024,1,1,0.12167,L,263,Connor McDavid,EDM,1281.5526
76,19,64,0.54897,11,80,52,Draisaitl,1,24,8477934,7,128,1.6,C,32,62,20222023,1,2,0.21052,L,247,Leon Draisaitl,EDM,1304.0375
79,34,78,0.53728,9,80,44,McDavid,4,45,8478402,28,123,1.5375,C,10,44,20212022,0,1,0.14012,L,314,Connor McDavid,EDM,1323.975
71,38,75,0.1,5,82,49,Panarin,1,24,8478550,18,120,1.46341,L,11,44,20232024,0,1,0.16171,R,303,Artemi Panarin,NYR,1207.1341
75,34,90,1.0,9,82,40,Gaudreau,2,26,8476346,64,115,1.40243,L,6,25,20212022,0,0,0.15267,L,262,Johnny Gaudreau,CGY,1114.4878
85,22,72,0.33333,7,80,30,Huberdeau,2,54,8476456,35,115,1.4375,L,5,38,20212022,3,5,0.13513,L,222,Jonathan Huberdeau,FLA,1165.475
52,43,76,0.42105,13,82,61,Pastrnak,4,38,8477956,34,113,1.37804,R,18,37,20222023,0,0,0.14987,R,407,David Pastrnak,BOS,1173.8658
83,22,63,1.0,4,82,30,Kucherov,0,36,8476453,-2,113,1.37804,R,8,50,20222023,0,0,0.1107,L,271,Nikita Kucherov,TBL,1207.939
69,30,77,0.44434,9,71,42,MacKinnon,2,30,8477492,29,111,1.56338,C,12,34,20222023,0,0,0.11475,R,366,Nathan MacKinnon,COL,1339.0422
55,30,68,0.53401,11,80,55,Draisaitl,1,40,8477934,17,110,1.375,C,24,41,20212022,1,1,0.19784,L,278,Leon Draisaitl,EDM,1340.95
63,35,75,0.33333,5,82,47,Pastrnak,0,47,8477956,21,110,1.34146,R,12,35,20232024,0,0,0.12303,R,382,David Pastrnak,BOS,1195.7804
