Ranking,Team,1993/94,1993/94(*)
1.,Cleveland,23711000,51588659
2.,Portland,23534000,51203556
3.,LA Lakers,23478000,51081713
4.,Atlanta,22510000,48975610
5.,New York,22109000,48103144
6.,Phoenix,21485000,46745490
7.,LA Clippers,20188000,43923573
8.,Brooklyn,20107000,43747338
9.,Orlando,19939000,43381816
10.,San Antonio,19316365,42027134
11.,Golden State,19239000,41858807
12.,Chicago,18531000,40318393
13.,Charlotte,17952000,39058648
14.,Boston,17881000,38904169
15.,Miami,17811000,38751869
16.,Sacramento,17397000,37851118
17.,Indiana,17196000,37413795
18.,Utah,16990000,36965598
19.,Houston,16757000,36458655
20.,Washington,16240000,35333801
21.,Denver,16110000,35050956
22.,Oklahoma City,15967000,34739832
23.,Detroit,15826000,34433050
24.,Minnesota,15496000,33715063
25.,Philadelphia,15354000,33406110
26.,Milwaukee,14889000,32394394
27.,Dallas,14321000,31158581
