Ranking,Team,1994/95,1994/95(*)
1.,LA Lakers,42068300,89302750
2.,Orlando,29069916,61709723
3.,Cleveland,28106000,59663522
4.,Portland,26658000,56589703
5.,New York,25748900,54659859
6.,Indiana,24918500,52897086
7.,Boston,24462000,51928026
8.,Oklahoma City,24073500,51103317
9.,Phoenix,23170884,49187242
10.,Brooklyn,23121800,49083045
11.,San Antonio,22721982,48234307
12.,Chicago,22053129,46814464
13.,Denver,21940500,46575374
14.,Atlanta,21869340,46424317
15.,Sacramento,20209000,42899739
16.,Miami,20142000,42757514
17.,Golden State,19797300,42025780
18.,Philadelphia,19709510,41839419
19.,Charlotte,19346658,41069158
20.,Utah,18708950,39715429
21.,Dallas,18053100,38323187
22.,LA Clippers,17876700,37948725
23.,Minnesota,17673260,37516858
24.,Houston,17578600,37315916
25.,Washington,17049750,36193269
26.,Detroit,16339300,34685126
27.,Milwaukee,16256960,34510334
