Ranking,Team,1991/92,1991/92(*)
1.,Boston,25343000,58545115
2.,Cleveland,16882000,38999274
3.,Chicago,16829000,38876839
4.,LA Lakers,15673000,36206354
5.,Detroit,15428000,35640373
6.,Indiana,15090000,34859557
7.,Philadelphia,14058000,32475521
8.,Phoenix,13593000,31401323
9.,Oklahoma City,13308000,30742942
10.,Houston,13274000,30664396
11.,Dallas,13004000,30040669
12.,LA Clippers,12976000,29975982
13.,Atlanta,12930000,29869719
14.,Utah,12761000,29479311
15.,Portland,12742000,29435418
16.,Washington,12633000,29183615
17.,Charlotte,12625000,29165137
18.,Brooklyn,12598000,29102763
19.,Golden State,12500000,28876372
20.,Sacramento,12492000,28857891
21.,Milwaukee,12451000,28763176
22.,New York,12399000,28643051
23.,Orlando,12250000,28298844
24.,Denver,11879000,27441792
25.,San Antonio,11587000,26767243
26.,Miami,11514000,26598603
27.,Minnesota,10763000,24863710
