Ranking,Team,2007/08,2007/08(*)
1.,Dallas,101694879,153346197
2.,New York,96190114,145045534
3.,Denver,82958227,125093110
4.,Cleveland,82217583,123976286
5.,Miami,74767603,112742426
6.,Boston,74509455,112353166
7.,Philadelphia,74038229,111642599
8.,Portland,73241335,110440960
9.,LA Lakers,72626796,109514294
10.,Phoenix,71323049,107548369
11.,San Antonio,70048523,105626500
12.,Houston,69894114,105393668
13.,Minnesota,69043895,104111617
14.,Indiana,66260246,99914141
15.,Toronto,66042375,99585611
16.,Detroit,65898875,99369227
17.,Washington,65278996,98434512
18.,Utah,64959089,97952121
19.,LA Clippers,64847945,97784525
20.,Sacramento,63403225,95606024
21.,Chicago,63084166,95124917
22.,New Orleans,62609991,94409903
23.,Milwaukee,62571522,94351897
24.,Golden State,62148303,93713720
25.,Brooklyn,61836211,93243117
26.,Oklahoma City,60861388,91773175
27.,Orlando,58165973,87708746
28.,Atlanta,55501133,83690424
29.,Memphis,54118526,81605579
30.,Charlotte,53745468,81043047
