Ranking,Team,1996/97,1996/97(*)
1.,Chicago,58270000,116828182
2.,Orlando,40149100,80496763
3.,Indiana,39480000,79155250
4.,Phoenix,36140000,72458732
5.,Washington,34940000,70052801
6.,Golden State,31087000,62327742
7.,San Antonio,30785500,61723251
8.,Oklahoma City,30301500,60752857
9.,LA Lakers,28838500,57819622
10.,Sacramento,27820200,55777984
11.,Detroit,26848500,53829781
12.,Houston,26275000,52679947
13.,Dallas,26107500,52344116
14.,New York,25923500,51975204
15.,Boston,25853500,51834859
16.,Atlanta,25806100,51739826
17.,Brooklyn,25426600,50978945
18.,Utah,25267000,50658959
19.,Portland,24903500,49930161
20.,Milwaukee,24222500,48564794
21.,Minnesota,24100500,48320189
22.,Philadelphia,23669500,47456058
23.,LA Clippers,23336500,46788411
24.,Miami,22421000,44952883
25.,Denver,21243300,42591657
26.,Charlotte,20975500,42054734
27.,Cleveland,18867500,37828308
28.,Toronto,18633900,37359951
29.,Memphis,15978000,32035019
