Ranking,Team,2003/04,2003/04(*)
1.,New York,89444820,152974005
2.,Portland,82956768,141877741
3.,Dallas,79536723,136028569
4.,Minnesota,71272042,121893806
5.,Sacramento,68372826,116935391
6.,Phoenix,66931770,114470809
7.,Atlanta,64497340,110307297
8.,LA Lakers,64123085,109667222
9.,Brooklyn,63697123,108938716
10.,Toronto,63033243,107803308
11.,Philadelphia,60411079,103318722
12.,Boston,60185915,102933630
13.,Indiana,58156236,99462352
14.,Memphis,57378323,98131916
15.,Chicago,55489797,94902043
16.,Houston,55401430,94750913
17.,Detroit,53442834,91401203
18.,Golden State,53376708,91288107
19.,Milwaukee,53229826,91036902
20.,Oklahoma City,52347476,89527854
21.,Orlando,50588419,86519404
22.,New Orleans,49800204,85171353
23.,Miami,47349374,80979792
24.,San Antonio,46464064,79465681
25.,Cleveland,46186472,78990929
26.,Washington,45682902,78129691
27.,Denver,39398646,67381969
28.,LA Clippers,39114363,66895771
29.,Utah,34747674,59427594
