Ranking,Team,1990/91,1990/91(*)
1.,Cleveland,14403000,34834960
2.,New York,13290000,32143071
3.,Detroit,12910000,31224004
4.,LA Lakers,12120000,29313318
5.,Atlanta,11761000,28445044
6.,Dallas,11693000,28280580
7.,Philadelphia,11640000,28152396
8.,Milwaukee,11595000,28043558
9.,Phoenix,11463000,27724304
10.,Brooklyn,11410000,27596119
11.,Boston,11256000,27223656
12.,Portland,11215000,27124495
13.,Golden State,11150000,26967286
14.,San Antonio,11057000,26742357
15.,Indiana,10981000,26558545
16.,Utah,10695000,25866827
17.,Oklahoma City,10590000,25612876
18.,Houston,10500000,25395200
19.,Charlotte,10417000,25194459
20.,Denver,10335000,24996134
21.,LA Clippers,10245000,24778462
22.,Chicago,10040000,24282651
23.,Washington,9610000,23242653
24.,Sacramento,9605000,23230561
25.,Miami,8510000,20582205
26.,Minnesota,7540000,18236170
27.,Orlando,7532000,18216825
