Ranking,Team,1999/00,1999/00(*)
1.,Portland,73898705,139693887
2.,New York,72288001,136649104
3.,LA Lakers,55018533,104003886
4.,Indiana,54988605,103947312
5.,Brooklyn,53245461,100652172
6.,Washington,53194441,100555728
7.,Miami,52496573,99236516
8.,Houston,52269367,98807020
9.,Utah,50348426,95175785
10.,Cleveland,46547966,87991612
11.,Phoenix,46544037,87984183
12.,Boston,46152875,87244753
13.,Milwaukee,44680197,84460887
14.,Atlanta,44169202,83494933
15.,Philadelphia,43890593,82968261
16.,Minnesota,42642272,80608510
17.,San Antonio,42529801,80395901
18.,Detroit,42141801,79662444
19.,Orlando,41586801,78613302
20.,Denver,40677095,76893654
21.,Sacramento,40113125,75827554
22.,Dallas,40014500,75641119
23.,Charlotte,38619012,73003169
24.,Oklahoma City,38258910,72322453
25.,Memphis,37432688,70760610
26.,Golden State,36133518,68304731
27.,Toronto,34730320,65652208
28.,Chicago,27032368,51100433
29.,LA Clippers,22489343,42512562
