Ranking,Team,2000/01,2000/01(*)
1.,Portland,87395140,159265467
2.,New York,74007738,134868788
3.,Miami,73472329,133893083
4.,Brooklyn,68977578,125702023
5.,Washington,59085969,107675943
6.,LA Lakers,58968213,107461347
7.,Milwaukee,57819318,105367649
8.,San Antonio,57215938,104268072
9.,Indiana,55086140,100386811
10.,Phoenix,53906347,98236801
11.,Utah,53893860,98214049
12.,Dallas,52274842,95263612
13.,Denver,52189220,95107581
14.,Oklahoma City,51538658,93922022
15.,Boston,51478707,93812764
16.,Philadelphia,51085458,93096125
17.,Cleveland,49780549,90718111
18.,Houston,49283309,89811961
19.,Memphis,48899840,89113143
20.,Minnesota,47488500,86541172
21.,Charlotte,46441558,84633265
22.,Sacramento,46266289,84313862
23.,Golden State,42363018,77200694
24.,Detroit,40475338,73760660
25.,Atlanta,39297129,71613539
26.,Toronto,38313749,69821464
27.,Orlando,37459860,68265371
28.,Chicago,29691907,54109356
29.,LA Clippers,29606189,53953147
