Ranking,Team,1992/93,1992/93(*)
1.,Boston,25217000,56508912
2.,Cleveland,19676000,44092055
3.,LA Lakers,18851000,42243306
4.,Chicago,18536000,41537426
5.,San Antonio,18083000,40522291
6.,Atlanta,18036000,40416970
7.,Philadelphia,17367000,38917806
8.,Washington,17249000,38653375
9.,Portland,16369000,36681382
10.,Brooklyn,16314000,36558129
11.,Indiana,16268000,36455047
12.,Houston,15877000,35578852
13.,Golden State,15473000,34673530
14.,Miami,15125000,33893693
15.,Orlando,14970000,33546353
16.,Utah,14517000,32531222
17.,LA Clippers,14288000,32018054
18.,Phoenix,14280000,32000125
19.,Charlotte,14150000,31708810
20.,Oklahoma City,14033000,31446625
21.,Milwaukee,14032000,31444385
22.,New York,14001000,31374915
23.,Detroit,13954000,31269592
24.,Sacramento,13953000,31267354
25.,Denver,13776180,30871116
26.,Minnesota,13732000,30772112
27.,Dallas,10859000,24333987
