Ranking,Team,2001/02,2001/02(*)
1.,New York,85993039,151780123
2.,Portland,84292850,148779239
3.,Brooklyn,75193712,132719005
4.,Philadelphia,58073366,102501114
5.,Dallas,57960080,102301160
6.,Phoenix,56596369,99894176
7.,Milwaukee,56224266,99237401
8.,Minnesota,55093782,97242068
9.,Sacramento,54921012,96937124
10.,Washington,54776087,96681321
11.,Denver,54460475,96124258
12.,LA Lakers,54262017,95773977
13.,Indiana,53398621,94250058
14.,Miami,53351186,94166335
15.,Toronto,52657161,92941360
16.,Utah,52642362,92915243
17.,Atlanta,51525207,90943431
18.,Memphis,50920631,89876337
19.,Charlotte,49999445,88250416
20.,Houston,49168169,86783192
21.,Golden State,47681152,84158566
22.,Boston,47515677,83866497
23.,Orlando,45984001,81163046
24.,San Antonio,45844814,80917378
25.,Cleveland,45649974,80573481
26.,Oklahoma City,45556733,80408908
27.,Chicago,42592857,75177581
28.,Detroit,42417677,74868385
29.,LA Clippers,33849932,59746073
