Ranking,Team,2002/03,2002/03(*)
1.,Portland,105595657,184410864
2.,New York,93452379,163203998
3.,Dallas,72940316,127382002
4.,Sacramento,70416596,122974612
5.,Philadelphia,64822487,113205131
6.,LA Lakers,63151182,110286387
7.,Memphis,61009172,106545607
8.,Brooklyn,60412919,105504321
9.,Minnesota,59518801,103942847
10.,Milwaukee,57995152,101281964
11.,Miami,57378326,100204748
12.,Atlanta,55711549,97293910
13.,Toronto,55408207,96764156
14.,Phoenix,55225080,96444346
15.,Indiana,53472323,93383357
16.,San Antonio,53182559,92877317
17.,Oklahoma City,53167479,92850981
18.,Boston,52548195,91769470
19.,Utah,50934629,88951559
20.,Orlando,50435346,88079618
21.,Houston,50181239,87635848
22.,Cleveland,49610448,86639028
23.,Denver,49109209,85763667
24.,Detroit,47777888,83438667
25.,Golden State,47737715,83368514
26.,Washington,46691190,81540872
27.,Chicago,44531095,77768511
28.,New Orleans,44458882,77642401
29.,LA Clippers,42955777,75017395
