Ranking,Team,1995/96,1995/96(*)
1.,New York,43329000,89264835
2.,Orlando,36526560,75250690
3.,Phoenix,36525000,75247479
4.,LA Lakers,30073000,61955300
5.,Cleveland,27695000,57056231
6.,San Antonio,26553000,54703527
7.,Oklahoma City,25852000,53259349
8.,Houston,25632000,52806112
9.,Philadelphia,25133000,51778088
10.,Denver,24553000,50583197
11.,Sacramento,24391000,50249452
12.,Detroit,23970000,49382121
13.,Portland,23926000,49291472
14.,Indiana,23909000,49256450
15.,Chicago,23512000,48438566
16.,Charlotte,23084000,47556817
17.,Milwaukee,23011000,47406427
18.,Golden State,22877000,47130364
19.,Minnesota,22642000,46646222
20.,Brooklyn,22580000,46518493
21.,Utah,22451000,46252732
22.,Atlanta,22227000,45791255
23.,Washington,22224000,45785075
24.,Miami,22087000,45502833
25.,Dallas,21753000,44814740
26.,LA Clippers,21165000,43603362
27.,Boston,20219000,41654445
28.,Memphis,18413000,37933785
29.,Toronto,17955000,36990233
