Ranking,Team,2004/05,2004/05(*)
1.,New York,102567539,169869031
2.,Dallas,91908443,152215779
3.,Portland,83671309,138573706
4.,Philadelphia,71951878,119164363
5.,Minnesota,70123411,116136117
6.,Memphis,67010830,110981159
7.,Orlando,66445249,110044463
8.,Indiana,66064780,109414339
9.,LA Lakers,65059098,107748764
10.,Boston,64577356,106950918
11.,Sacramento,61807688,102363887
12.,Toronto,61703775,102191785
13.,Houston,60284303,99840903
14.,Miami,59523529,98580937
15.,Milwaukee,57448246,95143914
16.,Chicago,57276129,94858859
17.,New Orleans,56572882,93694167
18.,Brooklyn,54983980,91062680
19.,Golden State,54943723,90996010
20.,Detroit,54762481,90695840
21.,Oklahoma City,53821301,89137089
22.,Washington,49797050,82472254
23.,Cleveland,49175274,81442491
24.,San Antonio,47504123,78674784
25.,Denver,46101759,76352236
26.,LA Clippers,45483265,75327905
27.,Phoenix,44598682,73862884
28.,Utah,43515760,72069385
29.,Atlanta,41059616,68001599
30.,Charlotte,23922578,39619793
