Ranking,Team,2006/07,2006/07(*)
1.,New York,117350866,181708756
2.,Dallas,88531846,137084724
3.,LA Lakers,77099949,119383317
4.,Portland,75026386,116172564
5.,Philadelphia,69140163,107058200
6.,Minnesota,66820673,103466650
7.,Phoenix,65841120,101949887
8.,San Antonio,65654320,101660643
9.,Denver,65517776,101449214
10.,Golden State,65012368,100666627
11.,Brooklyn,64486110,99851759
12.,Miami,64416312,99743680
13.,Sacramento,64296611,99558332
14.,Houston,63837566,98847540
15.,Milwaukee,63498518,98322546
16.,Indiana,63118965,97734838
17.,Cleveland,62992729,97539374
18.,Boston,62981479,97521952
19.,Washington,62733705,97138293
20.,Utah,62364364,96566397
21.,Memphis,61960489,95941029
22.,Orlando,61447108,95146097
23.,LA Clippers,59181038,91637263
24.,Detroit,59010951,91373899
25.,Oklahoma City,56986831,88239703
26.,Chicago,54754904,84783736
27.,New Orleans,53748991,83226157
28.,Toronto,51015491,78993543
29.,Atlanta,48581972,75225427
30.,Charlotte,41964046,64978079
