Ranking,Team,1998/99,1998/99(*)
1.,New York,59945400,115541991
2.,Portland,54725500,105480871
3.,Orlando,46118000,88890313
4.,Indiana,45401500,87509294
5.,Miami,44594000,85952874
6.,Brooklyn,43735000,84297187
7.,San Antonio,43681143,84193386
8.,LA Lakers,41872000,80706343
9.,Philadelphia,41509920,80008450
10.,Atlanta,40954940,78938754
11.,Phoenix,36101500,69583972
12.,Dallas,35565568,68550988
13.,Detroit,34699620,66881913
14.,Toronto,34368500,66243695
15.,Washington,34018500,65569086
16.,Milwaukee,33703240,64961435
17.,Memphis,33635800,64831447
18.,Minnesota,33107230,63812656
19.,Sacramento,32267000,62193149
20.,Boston,32258856,62177451
21.,Golden State,30985000,59722156
22.,Charlotte,30452000,58694819
23.,Oklahoma City,30413082,58619808
24.,Utah,30298560,58399075
25.,Houston,30297100,58396261
26.,Denver,29392200,56652107
27.,Cleveland,28714000,55344905
28.,Chicago,28640500,55203237
29.,LA Clippers,28417580,54773571
