Ranking,Team,1997/98,1997/98(*)
1.,Chicago,61330670,120203133
2.,New York,53974881,105786381
3.,Orlando,43954299,86146850
4.,Washington,40718075,79804117
5.,Indiana,39162273,76754871
6.,San Antonio,38846163,76135320
7.,Oklahoma City,37592175,73677605
8.,Phoenix,36937876,72395232
9.,LA Lakers,36304583,71154030
10.,Miami,34641186,67893904
11.,Golden State,32856469,64396006
12.,Philadelphia,31420520,61581662
13.,Atlanta,30133827,59059848
14.,Sacramento,30046350,58888399
15.,Utah,28505442,55868348
16.,Brooklyn,28504567,55866632
17.,Houston,28086350,55046960
18.,Minnesota,27787780,54461786
19.,Portland,27786719,54459706
20.,Dallas,27268948,53444920
21.,Charlotte,27006013,52929589
22.,Boston,26800500,52526797
23.,Cleveland,26677290,52285316
24.,Denver,26518960,51975001
25.,Milwaukee,25919828,50800754
26.,Memphis,25637110,50246648
27.,Detroit,24876625,48756160
28.,Toronto,24748905,48505837
29.,LA Clippers,24493625,48005511
