Ranking,Team,2005/06,2005/06(*)
1.,New York,126631098,204546649
2.,Dallas,98454832,159033650
3.,Philadelphia,84807300,136988851
4.,Indiana,78791779,127272009
5.,Orlando,75784782,122414821
6.,LA Lakers,72917945,117784029
7.,Houston,69257404,111871172
8.,Memphis,67525538,109073698
9.,Brooklyn,66449350,107335339
10.,San Antonio,63570274,102684776
11.,Milwaukee,63022514,101799984
12.,Sacramento,62811975,101459903
13.,Toronto,62411884,100813637
14.,Minnesota,61830186,99874021
15.,Miami,60732452,98100857
16.,Portland,60017964,96946748
17.,Detroit,59619275,96302746
18.,Utah,57372902,92674189
19.,Chicago,57166530,92340837
20.,Golden State,57114566,92256901
21.,Boston,56907300,91922105
22.,Denver,56492172,91251553
23.,Washington,54555947,88123976
24.,Phoenix,53626924,86623329
25.,LA Clippers,51358645,82959386
26.,Cleveland,51303962,82871059
27.,Oklahoma City,49253379,79558761
28.,Atlanta,42944553,69368140
29.,New Orleans,41277617,66675548
30.,Charlotte,33458932,54046059
