assists,gamesPlayed,gamesStarted,fullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
1,65,64,Dominik Hasek,0,140,2.1696,Hasek,15,,8,8447687,1,0.91535,1514.0,20012002,L,1654.0,5,DET,8.0,232300,41
0,73,73,Martin Brodeur,0,147,2.01629,Brodeur,23,,10,8455710,0,0.91383,1559.0,20022003,L,1706.0,9,NJD,9.0,262461,41
1,62,62,Evgeni Nabokov,0,150,2.44138,Nabokov,12,8.0,12,8460705,1,0.9098,1513.0,20082009,L,1663.0,7,SJS,,221186,41
3,71,70,Ed Belfour,0,177,2.58644,Belfour,18,,28,8445386,3,0.90585,1703.0,19921993,L,1880.0,7,CHI,11.0,246361,41
2,68,67,Marty Turco,0,166,2.54718,Turco,19,5.0,28,8460612,2,0.89778,1458.0,20052006,L,1624.0,3,DAL,,234612,41
0,49,48,Linus Ullmark,1,91,1.89438,Ullmark,6,1.0,2,8476999,1,0.93754,1366.0,20222023,L,1457.0,2,BOS,,172932,40
1,54,53,Connor Hellebuyck,0,110,2.06412,Hellebuyck,10,3.0,0,8476945,1,0.9235,1328.0,20242025,L,1438.0,6,WPG,,191849,40
0,65,63,Devan Dubnyk,0,141,2.25119,Dubnyk,19,5.0,10,8471227,0,0.92345,1701.0,20162017,L,1842.0,5,MIN,,225480,40
1,62,62,Alexandar Georgiev,0,156,2.5295,Georgiev,16,6.0,0,8480382,1,0.91859,1749.0,20222023,L,1904.0,5,COL,,222020,40
3,68,68,Jonathan Quick,0,149,2.21589,Quick,23,5.0,10,8471734,3,0.91813,1671.0,20152016,L,1820.0,5,LAK,,242069,40
0,74,74,Miikka Kiprusoff,0,181,2.45743,Kiprusoff,24,9.0,2,8462147,0,0.91735,2009.0,20062007,L,2190.0,7,CGY,,265155,40
4,62,60,Ben Bishop,0,136,2.31884,Bishop,13,5.0,4,8471750,4,0.91604,1484.0,20142015,L,1620.0,4,TBL,,211140,40
0,69,69,Jacques Plante,0,175,2.53623,Plante,17,,2,8450066,0,0.91496,1883.0,19591960,L,2058.0,3,MTL,12.0,248400,40
0,70,69,Roger Crozier,0,168,2.42009,Crozier,22,,10,8449859,0,0.91299,1763.0,19641965,R,1931.0,6,DET,7.0,249908,40
0,68,67,Roberto Luongo,0,167,2.56942,Luongo,22,4.0,0,8466141,0,0.91279,1748.0,20092010,L,1915.0,4,VAN,,233982,40
5,62,60,Patrick Roy,0,132,2.20951,Roy,13,,10,8451033,5,0.91275,1381.0,20002001,L,1513.0,4,COL,7.0,215070,40
