,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Nestor Cortes,30.3,2.094,172752022,,727500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Michael King,29.8,2.004,172252022,,722500,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Jose Trevino,32.3,2.063,17202022,,720000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Scott Effross,31.2,0.037,170152022,,701500,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
4,Estimated salaries for other pre-arbitration players,700000,,,,,,,,,,
