,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Ben Heller,29.2,2.096,157512020,,575150,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Gleyber Torres,23.8,1.162,167552019,,675500,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
2,Luke Voit,29.6,1.169,16342020,,634000,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
3,Miguel Andujar,25.6,2.020,163252020,,632500,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Mike Tauchman,29.8,1.055,16032020,,603100,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Clint Frazier,26.1,1.163,158812020,,588100,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT,
6,Tyler Wade,25.9,1.093,158282020,,582800,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Jonathan Loáisiga,25.9,1.022,158062020,,580625,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
8,Kyle Higashioka,30.5,1.005,157922020,,579200,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
9,Domingo Germán,28.2,2.017,12020,,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
10,Estimated salaries for other pre-arbitration players,,,,,3381000,,,,,,
