,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Devin Williams,30.5,5.056,1862025,,8600000,FREE AGENT,,,,,
1,Trent Grisham,28.4,5.060,152025,,5000000,FREE AGENT,,,,,
2,JT Brubaker,31.4,5.000,11822025,,1820000,FREE AGENT,,,,,
3,Jazz Chisholm Jr.,27.1,4.075,15852025,,5850000,ARB 3,FREE AGENT,,,,
4,Mark Leiter Jr.,34.0,4.031,12052025,,2050000,ARB 3,FREE AGENT,,,,
5,Clarke Schmidt,29.1,3.148,1362025,,3600000,ARB 3,ARB 4,FREE AGENT,,,
6,Scott Effross,31.2,2.154,18002025,,800000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
