,Player,Age,Service Time,Contract,AAV,2022,2023,2024,2025,2026,2027,2028
0,Aaron Judge,32.9,5.051,1192022,,19000000,FREE AGENT,,,,,
1,Andrew Benintendi,30.7,5.062,1852022,,8500000,FREE AGENT,,,,,
2,Jameson Taillon,33.4,5.110,1582022,,5800000,FREE AGENT,,,,,
3,Chad Green,33.8,5.050,142022,,4000000,FREE AGENT,,,,,
4,Miguel Castro,30.3,5.079,12622022,,2620000,FREE AGENT,,,,,
5,Frankie Montas,32.0,4.015,150252022,,5025000,ARB 3,FREE AGENT,,,,
6,Isiah Kiner-Falefa,30.0,4.000,1472022,,4700000,ARB 3,FREE AGENT,,,,
7,Wandy Peralta,33.7,4.168,12152022,,2150000,ARB 4,FREE AGENT,,,,
8,Gleyber Torres,28.3,3.162,16252022,,6250000,ARB 2,ARB 3,FREE AGENT,,,
9,Lou Trivino,33.5,3.163,132022,,3000000,ARB 3,ARB 4,FREE AGENT,,,
10,Domingo Germán,32.6,3.017,11752022,,1750000,ARB 2,ARB 3,FREE AGENT,,,
11,Jonathan Loáisiga,30.4,3.022,11652022,,1650000,ARB 2,ARB 3,FREE AGENT,,,
12,Clay Holmes,32.0,3.031,1112022,,1100000,ARB 2,ARB 3,FREE AGENT,,,
13,Kyle Higashioka,34.9,3.005,19352022,,935000,ARB 2,ARB 3,FREE AGENT,,,
14,Lucas Luetge,38.0,3.015,19052022,,905000,ARB 2,ARB 3,FREE AGENT,,,
