,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,Gerrit Cole,30.1,6.111,932420202820242029,36000000,36000000,36000000,36000000,36000000,36000000,36000000,36000000
1,Giancarlo Stanton,30.9,9.118,133252015272028,25000000,26000000,29000000,29000000,32000000,32000000,32000000,29000000
2,Masahiro Tanaka,31.9,6.000,7155201420,22142857,23000000,FREE AGENT,,,,,
3,Aroldis Chapman,32.6,9.009,348202022,17500000,16000000,16000000,16000000,FREE AGENT,,,
4,J.A. Happ,38.0,11.047,2342019202021,17000000,17000000,17000000,,,,,
5,Zack Britton,32.8,7.158,33920192120222020,13000000,13000000,13000000,14000000,,,,
6,Brett Gardner,37.1,11.072,112520202021,12500000,10000000,10000000,,,,,
7,DJ LeMahieu,32.2,7.128,224201920,12000000,12000000,FREE AGENT,,,,,
8,Aaron Hicks,31.0,6.041,7702019252026,10000000,10785714,10785714,10785714,10785714,9785715,9785715,12500000
9,Luis Severino,26.6,3.170,4402019222023,10000000,10500000,10750000,11500000,15000000,,,
10,Adam Ottavino,34.9,8.087,327201921,9000000,9000000,9000000,FREE AGENT,,,,
