,Player,Age,Service Time,Contract,AAV,2020,2021,2022,2023,2024,2025,2026
0,James Paxton,31.9,5.151,11252020,,12500000,FREE AGENT,,,,,
1,Tommy Kahnle,31.2,4.131,12652020,,2650000,ARB 4,FREE AGENT,,,,
2,Aaron Judge,28.4,3.051,1852020,,8500000,ARB 2,ARB 3,FREE AGENT,,,
3,Gary Sánchez,27.8,3.086,152020,,5000000,ARB 2,ARB 3,FREE AGENT,,,
4,Chad Green,29.4,3.050,112752020,,1275000,ARB 2,ARB 3,FREE AGENT,,,
5,Gio Urshela,29.0,2.127,124752020,,2475000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
6,Luis Cessa,28.4,2.131,18952020,,895000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
7,Jordan Montgomery,27.8,2.153,18052020,,805000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
8,Jonathan Holder,27.3,2.124,17502020,,750000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
