,Player,Age,Service Time,Contract,AAV,2021,2022,2023,2024,2025,2026,2027
0,Andrew Heaney,33.8,5.150,16752021,,6750000,FREE AGENT,,,,,
1,Aaron Judge,32.9,4.051,1101752021,,10175000,ARB 3,FREE AGENT,,,,
2,Gary Sánchez,32.3,4.086,16352021,,6350000,ARB 3,FREE AGENT,,,,
3,Joey Gallo,31.3,4.103,1622021,,6200000,ARB 3,FREE AGENT,,,,
4,Jameson Taillon,33.4,4.110,12252021,,2250000,ARB 3,FREE AGENT,,,,
5,Chad Green,33.8,4.050,12152021,,2150000,ARB 3,FREE AGENT,,,,
6,Gio Urshela,33.5,3.127,14652021,,4650000,ARB 2,ARB 3,FREE AGENT,,,
7,Jordan Montgomery,32.2,3.145,12132021,,2130000,ARB 2,ARB 3,FREE AGENT,,,
8,Wandy Peralta,33.7,3.168,19252021,,925000,ARB 3,ARB 4,FREE AGENT,,,
9,Luke Voit,34.1,2.169,1472021,,4700000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
10,Gleyber Torres,28.3,2.162,142021,,4000000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
11,Clint Frazier,30.6,2.133,1212021,,2100000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
