,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Juan Soto,26.4,5.134,1312024,,31000000,FREE AGENT,,,,,
1,Gleyber Torres,28.3,5.162,11422024,,14200000,FREE AGENT,,,,,
2,Alex Verdugo,28.9,5.078,1872024,,8700000,FREE AGENT,,,,,
3,Clay Holmes,32.0,5.031,162024,,6000000,FREE AGENT,,,,,
4,Jonathan Loáisiga,30.4,5.022,1252024,,2500000,FREE AGENT,,,,,
5,Trent Grisham,28.4,4.060,1552024,,5500000,ARB 3,FREE AGENT,,,,
6,Nestor Cortes,30.3,4.094,13952024,,3950000,ARB 3,FREE AGENT,,,,
7,Jose Trevino,32.3,4.063,12732024,,2730000,ARB 3,FREE AGENT,,,,
8,JT Brubaker,31.4,4.000,122752024,,2275000,ARB 3,FREE AGENT,,,,
9,Tim Mayza,33.2,4.156,11792024,,179032,ARB 3,FREE AGENT,,,,
10,Jazz Chisholm Jr.,27.1,3.075,126252024,,2625000,ARB 2,ARB 3,FREE AGENT,,,
11,Mark Leiter Jr.,34.0,3.031,1152024,,1500000,ARB 2,ARB 3,FREE AGENT,,,
12,Clarke Schmidt,29.1,2.148,120252024,,2025000,ARB 2,ARB 3,ARB 4,FREE AGENT,,
