,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Jake Cousins,30.7,1.160,17502024,,750000,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Ian Hamilton,29.8,1.126,192312024,,923050,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
2,Anthony Volpe,23.9,1.000,181012024,,810100,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
3,Oswaldo Cabrera,26.1,1.050,17832024,,783000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
4,Luis Gil,26.8,1.073,17502024,,750000,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
5,Austin Wells,25.7,0.031,17502024,,750000,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
6,Estimated salaries for other pre-arbitration players,2220000,,,,,,,,,,
