,Player,Age,Service Time,Contract,AAV,2024,2025,2026,2027,2028,2029,2030
0,Aaron Judge,32.9,7.051,9360202331,40000000,40000000,40000000,40000000,40000000,40000000,40000000,40000000
1,Gerrit Cole,34.5,10.111,9324202028,36000000,36000000,36000000,36000000,36000000,36000000,FREE AGENT,
2,Carlos Rodón,32.3,8.168,6162202328,27000000,27833333,27833333,27833333,27833333,27833333,FREE AGENT,
3,Giancarlo Stanton,35.4,13.118,133252015272028,25000000,32000000,32000000,29000000,25000000,25000000,,
4,Anthony Rizzo,35.6,11.168,240202324,20000000,17000000,17000000,,,,,
5,Marcus Stroman,33.9,9.026,23720242520261402025,18500000,18500000,18500000,18000000,,,,
6,DJ LeMahieu,36.7,11.128,690202126,15000000,15000000,15000000,15000000,FREE AGENT,,,
7,Tommy Kahnle,35.6,8.131,2115202324,5750000,5750000,FREE AGENT,,,,,
8,Jon Berti,35.2,4.168,25725202324,3625000,3625000,ARB 3,FREE AGENT,,,,
9,Luke Weaver,31.6,6.112,2452024252025,2000000,2000000,2500000,FREE AGENT,,,,
10,Lou Trivino,33.5,5.163,1152024,1500000,1500000,5000000,,,,,
11,Tim Hill,35.1,5.112,140582024,405806,405806,FREE AGENT,,,,,
