,Player,Age,Service Time,Contract,AAV,2025,2026,2027,2028,2029,2030,2031
0,Ian Hamilton,29.8,2.126,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
1,Anthony Volpe,23.9,2.000,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
2,Oswaldo Cabrera,26.1,2.050,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
3,Luis Gil,26.8,2.073,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
4,Jake Cousins,30.7,2.091,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
5,Fernando Cruz,35.0,2.035,"1 yr, TBD (2025)",,TBD,ARB 1,ARB 2,ARB 3,FREE AGENT,,
6,Austin Wells,25.7,1.031,"1 yr, TBD (2025)",,TBD,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT,
7,Jasson Domínguez,22.1,0.130,"1 yr, TBD (2025)",,TBD,Pre-ARB,ARB 1,ARB 2,ARB 3,ARB 4,FREE AGENT
8,Will Warren,25.8,0.016,"1 yr, TBD (2025)",,TBD,Pre-ARB,Pre-ARB,ARB 1,ARB 2,ARB 3,FREE AGENT
9,Estimated salaries for other pre-arbitration players,9880000,,,,,,,,,,
