Rnk,Fighter,Total
1,Anderson Silva,16
2,Islam Makhachev,15
2,Kamaru Usman,15
4,Georges St-Pierre,13
4,Jon Jones,13
4,Demetrious Johnson,13
4,Khabib Nurmagomedov,13
4,Max Holloway,13
9,Amanda Nunes,12
9,Tony Ferguson,12
9,Alexander Volkanovski,12
9,Merab Dvalishvili,12
