Rnk,Fighter,Percent
1,Julio Arce,96.2%
2,Jon Jones,95.0%
3,Eddie Wineland,93.3%
4,Jimmie Rivera,92.6%
5,Renan Barao,92.5%
6,Gleison Tibau,92.1%
7,Natalia Silva,91.7%
8,Jose Aldo,91.6%
9,Shane Burgos,91.5%
10,Ludovit Klein,91.3%
10,Michael Morales,91.3%
