Rnk,Fighter,Total
1,Merab Dvalishvili,92
2,Georges St-Pierre,90
3,Gleison Tibau,84
4,Clay Guida,78
5,Demetrious Johnson,74
6,Frankie Edgar,73
7,Colby Covington,70
8,Nik Lentz,69
9,Demian Maia,68
9,Rafael Dos Anjos,68
