Rnk,Fighter,Percent
1,Alistair Overeem,74.3%
2,Anthony Hamilton,65.6%
3,Anthony Hernandez,63.4%
4,Shara Magomedov,62.4%
5,Alex Pereira,62.1%
6,Tatiana Suarez,61.7%
7,Josh Barnett,61.5%
8,Sean O'Malley,61.5%
9,Ciryl Gane,61.3%
10,Phil Hawes,60.7%
