Rnk,Fighter,Percent
1,Jailton Almeida,77.2%
2,Chael Sonnen,63.0%
3,Bartosz Fabinski,62.2%
4,Grant Dawson,59.4%
5,Charlie Brenneman,54.8%
6,Matt Lindland,54.3%
7,Gregor Gillespie,52.5%
8,Matt Hughes,51.6%
9,Pat Sabatini,50.6%
10,Khamzat Chimaev,50.1%
