Rnk,Fighter,Time
1,Tom Aspinall,0:01
2,Ike Villanueva,0:04
3,Philipe Lins,0:05
4,Khamzat Chimaev,0:06
5,Adriano Martins,0:09
6,Riki Fukuda,0:10
7,Chris Daukaus,0:13
7,Carlos Ulberg,0:13
7,Manon Fiorot,0:13
7,Daniel Zellhuber,0:13
7,Emily Ducote,0:13
