Rnk,Fighter,Total
1,Charles Oliveira,16
2,Jim Miller,13
3,Demian Maia,11
3,Gerald Meerschaert,11
5,Nate Diaz,10
6,Frank Mir,8
6,Michael Chiesa,8
6,Gunnar Nelson,8
6,Islam Makhachev,8
10,Kenny Florian,7
10,Cole Miller,7
10,Joe Lauzon,7
10,Rani Yahya,7
10,Glover Teixeira,7
10,Aleksei Oleinik,7
10,Gillian Robertson,7
10,Brendan Allen,7
