Rnk,Fighter,Time
1,Georges St-Pierre,2:22:05
2,Demian Maia,2:01:15
3,Clay Guida,1:48:14
4,Jon Fitch,1:46:35
5,Matt Hughes,1:45:08
6,Darren Elkins,1:39:26
7,Frankie Edgar,1:32:34
8,Rafael Dos Anjos,1:30:58
9,Grant Dawson,1:30:36
10,Chael Sonnen,1:29:52
