Rnk,Fighter,Total
1,Max Holloway,3706
2,Darren Elkins,2603
3,Georges St-Pierre,2591
3,Rafael Dos Anjos,2591
5,Neil Magny,2561
6,Nate Diaz,2487
7,Angela Hill,2482
8,Frankie Edgar,2481
9,Kamaru Usman,2427
10,Sean Strickland,2372
