Rnk,Fighter,Percent
1,Nordine Taleb,76.2%
2,Taila Santos,75.0%
3,Robbie Lawler,73.9%
4,Georges St-Pierre,73.8%
5,Bartosz Fabinski,70.6%
6,Jonathan Goulet,70.0%
7,Montel Jackson,68.8%
8,Diego Brandao,68.0%
9,Renato Sobral,66.7%
9,Melvin Guillard,66.7%
9,Makhmud Muradov,66.7%
