Rnk,Fighter,Total
1,Jim Miller,45
2,Andrei Arlovski,42
3,Donald Cerrone,38
4,Clay Guida,37
5,Rafael Dos Anjos,36
6,Jeremy Stephens,34
6,Charles Oliveira,34
6,Neil Magny,34
9,Demian Maia,33
10,Diego Sanchez,32
