Rnk,Fighter,Total
1,Charles Oliveira,20
2,Jim Miller,19
3,Donald Cerrone,16
4,Matt Brown,15
4,Dustin Poirier,15
4,Derrick Lewis,15
7,Anderson Silva,14
7,Vicente Luque,14
9,Frank Mir,13
9,Joe Lauzon,13
9,Max Holloway,13
9,Glover Teixeira,13
