Rnk,Fighter,Time
1,Rafael Dos Anjos,8:43:19
2,Max Holloway,8:02:43
3,Frankie Edgar,7:57:10
4,Jim Miller,7:14:28
5,Clay Guida,7:03:17
6,Neil Magny,6:56:48
7,Andrei Arlovski,6:49:58
8,Demian Maia,6:49:40
9,Diego Sanchez,6:37:07
10,Jeremy Stephens,6:29:32
