Rnk,Fighter,Percent
1,Tom Aspinall,0.09%
2,Philipe Lins,0.13%
3,Jon Jones,0.19%
4,Khamzat Chimaev,0.21%
5,Manon Fiorot,0.21%
6,Riki Fukuda,0.22%
7,Adriano Martins,0.26%
8,Ike Villanueva,0.27%
9,Carlos Ulberg,0.29%
10,Emily Ducote,0.29%
