Rnk,Fighter,Total
1,Jailton Almeida,0.88
2,Pete Spratt,1.04
3,Jesus Aguilar,1.07
4,Themba Gorimbo,1.09
5,Ivan Salaverry,1.15
6,Jon Madsen,1.18
7,Renato Sobral,1.25
8,Matt Lindland,1.31
8,Ricco Rodriguez,1.31
8,Jeremiah Wells,1.31
