Rnk,Fighter,Total
1,Neil Magny,14
2,Brad Tavares,13
3,Andrei Arlovski,12
3,Georges St-Pierre,12
3,Diego Sanchez,12
3,Rafael Dos Anjos,12
3,Darren Elkins,12
3,Belal Muhammad,12
9,Frankie Edgar,11
9,Clay Guida,11
9,Gleison Tibau,11
9,Francisco Trinaldo,11
9,Robert Whittaker,11
9,Sean Strickland,11
9,Katlyn Cerminara,11
9,Merab Dvalishvili,11
