Rnk,Fighter,Total
1,Jim Miller,27
2,Andrei Arlovski,23
2,Donald Cerrone,23
2,Charles Oliveira,23
5,Demian Maia,22
5,Jon Jones,22
5,Dustin Poirier,22
5,Max Holloway,22
5,Neil Magny,22
10,Rafael Dos Anjos,21
