Rnk,Fighter,Total
1,Charles Oliveira,20
2,Donald Cerrone,18
3,Nate Diaz,16
4,Jim Miller,15
4,Joe Lauzon,15
4,Dustin Poirier,15
7,Anderson Silva,14
7,Justin Gaethje,14
9,Edson Barboza,13
9,Max Holloway,13
