Rnk,Fighter,Total
1,Derrick Lewis,15
2,Matt Brown,13
3,Anderson Silva,11
3,Anthony Johnson,11
3,Dustin Poirier,11
3,Max Holloway,11
3,Thiago Santos,11
8,Michael Bisping,10
8,Cain Velasquez,10
8,Junior Dos Santos,10
8,Donald Cerrone,10
8,Francis Ngannou,10
