Rnk,Fighter,Percent
1,Jailton Almeida,84.2%
2,Bartosz Fabinski,79.1%
3,Gregor Gillespie,71.9%
4,Chael Sonnen,69.3%
5,Grant Dawson,67.7%
6,Matt Lindland,66.1%
7,Philip De Fries,65.6%
8,Pat Sabatini,64.9%
9,Themba Gorimbo,61.8%
10,Charlie Brenneman,61.7%
