Rnk,Fighter,Time
1,Joanna Jedrzejczyk,18:37
2,Demetrious Johnson,18:34
3,Valentina Shevchenko,18:22
4,Dominick Cruz,18:20
5,Benson Henderson,18:02
6,Israel Adesanya,17:35
7,Kamaru Usman,17:27
8,Marvin Vettori,17:25
9,Leon Edwards,17:19
10,Petr Yan,17:17
