Rnk,Fighter,Total
1,Donald Cerrone,20
2,Anderson Silva,18
2,Jeremy Stephens,18
4,Edson Barboza,16
5,Chuck Liddell,14
5,Lyoto Machida,14
5,Mauricio Rua,14
5,Junior Dos Santos,14
5,Dustin Poirier,14
5,Thiago Santos,14
