Rnk,Fighter,Total
1,Joshua Van,8.1
2,Tom Aspinall,8.07
2,Esteban Ribovics,8.07
4,Casey O'Neill,7.89
5,Victor Henry,7.66
6,Leslie Smith,7.56
7,Daniel Rodriguez,7.53
8,Emily Ducote,7.45
9,Shane Burgos,7.4
10,Terrance McKinney,7.17
