Rnk,Fighter,Time
1,Georges St-Pierre,2:42:04
2,Clay Guida,2:36:28
3,Demian Maia,2:35:20
4,Rafael Dos Anjos,2:16:43
5,Kamaru Usman,2:13:55
6,Jon Fitch,2:08:26
7,Darren Elkins,2:08:15
8,Randy Couture,2:06:42
9,Colby Covington,2:05:05
10,Matt Hughes,1:53:42
