Rnk,Fighter,Total
1,Drew McFedries,4.27
2,Tom Aspinall,4.09
3,Chris Daukaus,3.54
4,Todd Duffee,2.91
5,Sergei Pavlovich,2.2
6,Steve Garcia,2.15
7,Shane Carwin,2.03
8,Uros Medic,1.96
9,Houston Alexander,1.78
10,Terrance McKinney,1.75
