Rnk,Fighter,Total
1,Jon Jones,16
2,Georges St-Pierre,13
3,Demetrious Johnson,12
4,Anderson Silva,11
4,Amanda Nunes,11
6,Matt Hughes,9
6,Valentina Shevchenko,9
8,Randy Couture,8
8,Jose Aldo,8
8,Israel Adesanya,8
