Rnk,Fighter,Total
1,Jim Miller,49
2,Charles Oliveira,46
3,Chris Lytle,31
4,Joe Lauzon,29
5,Demian Maia,27
6,Nate Diaz,26
6,Nik Lentz,26
8,Darren Elkins,25
9,Matt Brown,24
9,Georges St-Pierre,24
9,Joe Stevenson,24
9,Cole Miller,24
9,Dustin Poirier,24
