Rnk,Fighter,Total
1,Tom Aspinall,5.18
2,Cristiane Justino,4.79
3,Cain Velasquez,4.08
4,Terrance McKinney,4.05
5,Sean O'Malley,3.31
6,Todd Duffee,3.26
7,Joanna Jedrzejczyk,3.03
7,Ciryl Gane,3.03
9,Joshua Van,2.86
10,Natalia Silva,2.84
