Rnk,Fighter,Total
1,Paul Sass,7.38
2,John Albert,6.14
3,TJ Waldburger,4.79
4,Dustin Hazelett,4.14
5,Shannon Gugerty,3.41
6,Tim Credeur,3.29
7,Jason High,3.26
8,Dave Menne,3.25
9,Renato Sobral,3.16
10,Rousimar Palhares,3.14
