,Player,Team,Year Signed,Years,,Value,APY,Guaranteed,,APY as % Of Cap At Signing,,Inflated Value,Inflated APY,Inflated Guaranteed
60,Tim Masthay,Packers,2012,4,,5465000,1366250,1200000,,1.1%,,12651973,3162993,2778109
61,Shane Lechler,Texans,2018,1,,2000000,2000000,600000,,1.1%,,3151242,3151242,945372
62,Marquette King,Broncos,2018,3,,6000000,2000000,2000000,,1.1%,,9453725,3151242,3151242
63,Andy Lee,Cardinals,2018,2,,4000000,2000000,1500000,,1.1%,,6302483,3151242,2363431
64,Dave Zastudil,Cardinals,2014,2,,2950000,1475000,545000,,1.1%,,6192782,3096391,1144090
65,Andy Lee,49ers,2007,6,,7100000,1183333,1690000,,1.1%,,18186422,3031069,4328881
66,Matt Haack,Dolphins,2020,1,,2133000,2133000,0,,1.1%,,3004710,3004710,0
67,Jordan Berry,Steelers,2018,1,,1907000,1907000,0,,1.1%,,3004709,3004709,0
68,J.K. Scott,Chargers,2025,2,,6000000,3000000,3150000,,1.1%,,6000000,3000000,3150000
69,Riley Dixon,Buccaneers,2025,2,,6000000,3000000,3000000,,1.1%,,6000000,3000000,3000000
70,Jamie Gillan,Giants,2025,3,,9000000,3000000,4000000,,1.1%,,9000000,3000000,4000000
71,Britton Colquitt,Browns,2016,1,,1650000,1650000,0,,1.1%,,2966961,2966961,0
72,Brett Kern,Titans,2022,1,,2200000,2200000,1000000,,1.1%,,2950240,2950240,1341018
73,Jeff Locke,Colts,2017,2,,3450000,1725000,1250000,,1.0%,,5767904,2883952,2089820
74,Tress Way,Commanders,2025,1,,2872500,2872500,2000000,,1.0%,,2872500,2872500,2000000
75,Donnie Jones,Rams,2007,5,,5585000,1117000,0,,1.0%,,14305798,2861160,0
76,Tress Way,Commanders,2016,5,,7800000,1560000,2350000,,1.0%,,14025633,2805127,4225671
77,Matt Haack,Bills,2021,3,,5475000,1825000,3250000,,1.0%,,8376000,2792000,4972055
78,Michael Palardy,Panthers,2020,2,,3960000,1980000,0,,1.0%,,5578365,2789183,0
79,Thomas Morstead,Jets,2024,2,,5100000,2550000,2210000,,1.0%,,5575255,2787627,2415944
80,Jordan Berry,Steelers,2019,2,,3700000,1850000,750000,,1.0%,,5489054,2744527,1112646
81,Rigoberto Sanchez,Colts,2024,3,,7500000,2500000,2500000,,1.0%,,8198904,2732968,2732968
82,Pat O'Donnell,Packers,2022,2,,4000000,2000000,1600000,,1.0%,,5364073,2682037,2145629
83,Pat O'Donnell,Bears,2021,1,,1750000,1750000,600000,,1.0%,,2677260,2677260,917918
84,Pat O'Donnell,Bears,2019,2,,3500000,1750000,1750000,,0.9%,,5192349,2596174,2596174
85,Chris Jones,Cowboys,2015,2,,2658000,1329000,750000,,0.9%,,5179464,2589732,1461474
86,Sam Martin,Lions,2019,1,,1700000,1700000,1700000,,0.9%,,2521998,2521998,2521998
87,Kevin Huber,Bengals,2021,1,,1637500,1637500,137500,,0.9%,,2505151,2505151,210356
88,Sam Martin,Bills,2023,3,,6000000,2000000,3915000,,0.9%,,7451957,2483986,4862402
89,Jamie Gillan,Giants,2023,2,,4000000,2000000,1000000,,0.9%,,4967972,2483986,1241993
90,J.K. Scott,Chargers,2023,2,,4000000,2000000,820000,,0.9%,,4967972,2483986,1018434
91,Kevin Huber,Bengals,2022,1,,1850000,1850000,152500,,0.9%,,2480884,2480884,204505
92,Pat O'Donnell,Bears,2018,1,,1500000,1500000,500000,,0.8%,,2363431,2363431,787810
93,Jake Bailey,Dolphins,2024,2,,4200000,2100000,2225000,,0.8%,,4591386,2295693,2432341
94,Braden Mann,Eagles,2024,2,,4200000,2100000,2775000,,0.8%,,4591386,2295693,3033594
95,Andy Lee,Cardinals,2021,1,,1500000,1500000,600000,,0.8%,,2294795,2294795,917918
96,Corey Bojorquez,Browns,2022,2,,3380000,1690000,1500000,,0.8%,,4532642,2266321,2011527
97,Ryan Allen,Patriots,2019,1,,1500000,1500000,100000,,0.8%,,2225292,2225292,148353
98,Corey Bojorquez,Browns,2024,2,,4000000,2000000,2750000,,0.8%,,4372749,2186374,3006265
99,Riley Dixon,Broncos,2023,2,,3500000,1750000,1000000,,0.8%,,4346975,2173488,1241993
100,Colton Schmidt,Bills,2017,2,,2600000,1300000,400000,,0.8%,,4346826,2173413,668743
101,Michael Palardy,Dolphins,2021,1,,1400000,1400000,200000,,0.8%,,2141808,2141808,305973
102,Donnie Jones,Texans,2012,1,,890000,890000,65000,,0.7%,,2060431,2060431,150481
103,Donnie Jones,Eagles,2013,1,,905000,905000,65000,,0.7%,,2054276,2054276,147545
104,Bradley Pinion,Falcons,2022,1,,1500000,1500000,210000,,0.7%,,2011527,2011527,281614
105,Andy Lee,Cardinals,2022,1,,1500000,1500000,750000,,0.7%,,2011527,2011527,1005764
106,Bryan Anger,Cowboys,2021,1,,1212500,1212500,137500,,0.7%,,1854959,1854959,210356
107,Ryan Wright,Vikings,2025,1,,1750000,1750000,650000,,0.6%,,1750000,1750000,650000
108,Jon Ryan,Bills,2018,1,,1105000,1105000,90000,,0.6%,,1741061,1741061,141806
109,Sam Martin,Bills,2022,1,,1272500,1272500,0,,0.6%,,1706446,1706446,0
110,Thomas Morstead,Dolphins,2022,1,,1272500,1272500,550000,,0.6%,,1706446,1706446,737560
111,Brandon Fields,Saints,2015,1,,870000,870000,0,,0.6%,,1695310,1695310,0
112,Steve Weatherford,Jets,2015,1,,870000,870000,0,,0.6%,,1695310,1695310,0
113,Jordan Berry,Steelers,2021,1,,1090000,1090000,100000,,0.6%,,1667551,1667551,152986
114,Bryan Anger,Jaguars,2012,4,,2877166,719292,662500,,0.6%,,6660902,1665227,1533748
115,Dustin Colquitt,Falcons,2021,1,,1075000,1075000,0,,0.6%,,1644603,1644603,0
116,Thomas Morstead,Jets,2021,1,,1075000,1075000,0,,0.6%,,1644603,1644603,0
117,Bryan Anger,Cowboys,2021,1,,1075000,1075000,0,,0.6%,,1644603,1644603,0
118,Thomas Morstead,Falcons,2021,1,,1075000,1075000,0,,0.6%,,1644603,1644603,0
119,Dustin Colquitt,Browns,2021,1,,1075000,1075000,0,,0.6%,,1644603,1644603,0
120,Thomas Morstead,Jets,2023,1,,1317500,1317500,1092500,,0.6%,,1636326,1636326,1356877
121,Sam Martin,Panthers,2025,1,,1600000,1600000,1600000,,0.6%,,1600000,1600000,1600000
122,Donnie Jones,Chargers,2018,1,,1015000,1015000,0,,0.6%,,1599255,1599255,0
123,Corey Bojorquez,LAR/GB,2021,1,,1020000,1020000,0,,0.6%,,1560460,1560460,0
124,Blake Gillikin,Saints,2023,1,,1240000,1240000,600000,,0.6%,,1540071,1540071,745196
125,Jake Bailey,Dolphins,2023,1,,1232500,1232500,1092500,,0.5%,,1530756,1530756,1356877
126,Matt Haack,Bills,2022,1,,1135000,1135000,0,,0.5%,,1522056,1522056,0
127,Jordan Berry,Vikings,2021,1,,990000,990000,0,,0.5%,,1514564,1514564,0
128,Lachlan Edwards,CAR/LAC,2021,1,,990000,990000,0,,0.5%,,1514564,1514564,0
129,Brett Kern,Eagles,2022,1,,1120000,1120000,0,,0.5%,,1501940,1501940,0
130,Michael Palardy,Patriots,2022,1,,1120000,1120000,0,,0.5%,,1501940,1501940,0
131,Jordan Berry,Vikings,2022,1,,1120000,1120000,0,,0.5%,,1501940,1501940,0
132,Bryan Anger,Texans,2019,1,,1000000,1000000,70000,,0.5%,,1483528,1483528,103847
133,Dustin Colquitt,Steelers,2020,1,,1050000,1050000,0,,0.5%,,1479112,1479112,0
134,Ryan Allen,ATL/TEN,2020,1,,1050000,1050000,0,,0.5%,,1479112,1479112,0
135,Dustin Colquitt,Jaguars,2020,1,,1050000,1050000,0,,0.5%,,1479112,1479112,0
136,Shane Lechler,Raiders,2002,1,,375000,375000,0,,0.5%,,1472553,1472553,0
137,Jordan Stout,Ravens,2022,4,,4357832,1089458,697832,,0.5%,,5843932,1460983,935805
138,Jake Camarda,Buccaneers,2022,4,,4340316,1085079,680316,,0.5%,,5820443,1455111,912316
139,Thomas Morstead,Jets,2023,1,,1165000,1165000,940000,,0.5%,,1446922,1446922,1167473
140,Pat McAfee,Colts,2009,4,,2538000,634500,58280,,0.5%,,5761054,1440263,132291
141,Jamie Gillan,Giants,2022,1,,1065000,1065000,100000,,0.5%,,1428184,1428184,134102
142,Johnny Hekker,Titans,2025,1,,1422500,1422500,1197500,,0.5%,,1422500,1422500,1197500
143,J.K. Scott,Jaguars,2021,1,,920000,920000,0,,0.5%,,1407474,1407474,0
144,Riley Dixon,Rams,2022,1,,1035000,1035000,0,,0.5%,,1387954,1387954,0
145,Matt Haack,Colts,2022,1,,1035000,1035000,0,,0.5%,,1387954,1387954,0
146,Britton Colquitt,Vikings,2019,1,,930000,930000,0,,0.5%,,1379681,1379681,0
147,Bryan Anger,Texans,2019,1,,930000,930000,0,,0.5%,,1379681,1379681,0
148,Pressley Harvin,Steelers,2021,4,,3560732,890183,80732,,0.5%,,5447432,1361858,123509
149,Michael Palardy,Commanders,2023,1,,1080000,1080000,0,,0.5%,,1341352,1341352,0
150,Matt Haack,Cardinals,2023,1,,1080000,1080000,0,,0.5%,,1341352,1341352,0
151,Ryan Allen,Falcons,2020,1,,945000,945000,0,,0.5%,,1331201,1331201,0
152,Jeff Locke,Vikings,2013,4,,2344192,586048,184192,,0.5%,,5321125,1330281,418101
